avg_train_acc,avg_train_loss,avg_val_acc,avg_val_loss,epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0.8496754169464111,0.45571985840797424,,,19,879,,,0.8496888875961304,,0.45570385456085205,,,
,,,,20,899,,,,0.859375,,0.44375482201576233,,
,,0.8016023635864258,0.499085009098053,20,923,,,,,,,0.8047999739646912,0.49596357345581055
0.8531942367553711,0.45395901799201965,,,20,923,,,0.8531555533409119,,0.45398345589637756,,,
,,,,21,949,,,,0.84375,,0.4583243727684021,,
,,0.8665657043457031,0.4415268898010254,21,967,,,,,,,0.8651999831199646,0.4426589012145996
0.8523064255714417,0.45296144485473633,,,21,967,,,0.8522666692733765,,0.45299044251441956,,,
,,,,22,999,,,,0.87109375,,0.440608412027359,,
,,0.8749521374702454,0.4330163896083832,22,1011,,,,,,,0.8744000196456909,0.433610737323761
0.8647302985191345,0.4435010254383087,,,22,1011,,,0.8647111058235168,,0.44352009892463684,,,
,,,,23,1049,,,,0.84765625,,0.44971993565559387,,
,,0.8633291125297546,0.4425986707210541,23,1055,,,,,,,0.8636000156402588,0.4423600733280182
0.8587462902069092,0.44688835740089417,,,23,1055,,,0.8587555289268494,,0.44688141345977783,,,
,,,,24,1099,,,,0.8842975497245789,,0.4250108599662781,,
,,0.8745056986808777,0.4332612454891205,24,1099,,,,,,,0.8748000264167786,0.43291163444519043
0.8656232357025146,0.4393627941608429,,,24,1099,,,0.8655999898910522,,0.4393806457519531,,,
,,0.8807557225227356,0.42599624395370483,25,1143,,,,,,,0.8812000155448914,0.42585620284080505
0.8751276135444641,0.4319605529308319,,,25,1143,,,0.8751111030578613,,0.43197765946388245,,,
,,,,26,1149,,,,0.8984375,,0.4077719748020172,,
,,0.8714684247970581,0.4356135427951813,26,1187,,,,,,,0.8712000250816345,0.4356794059276581
0.8754519820213318,0.43256404995918274,,,26,1187,,,0.8754666447639465,,0.43255481123924255,,,
,,,,27,1199,,,,0.89453125,,0.4139367938041687,,
,,0.8322464823722839,0.4728817343711853,27,1231,,,,,,,0.8352000117301941,0.47015830874443054
0.8728040456771851,0.43429604172706604,,,27,1231,,,0.8727999925613403,,0.4342978596687317,,,
,,,,28,1249,,,,0.87109375,,0.43721288442611694,,
,,0.7932716608047485,0.5077031850814819,28,1275,,,,,,,0.7888000011444092,0.5118676424026489
0.8777551054954529,0.4287743866443634,,,28,1275,,,0.8777777552604675,,0.42874670028686523,,,
,,,,29,1299,,,,0.875,,0.42042773962020874,,
,,0.8733099102973938,0.4347716271877289,29,1319,,,,,,,0.8748000264167786,0.43352293968200684
0.8783816695213318,0.42892542481422424,,,29,1319,,,0.8784000277519226,,0.42891454696655273,,,
,,,,30,1349,,,,0.90625,,0.41077715158462524,,
,,0.8846939206123352,0.42362475395202637,30,1363,,,,,,,0.8855999708175659,0.4227319359779358
0.8851391077041626,0.4234595000743866,,,30,1363,,,0.8851555585861206,,0.42344900965690613,,,
,,,,31,1399,,,,0.859375,,0.4512765109539032,,
,,0.8619817495346069,0.44011664390563965,31,1407,,,,,,,0.8632000088691711,0.43889373540878296
0.8810757994651794,0.42384082078933716,,,31,1407,,,0.8810666799545288,,0.42385154962539673,,,
,,,,32,1449,,,,0.89453125,,0.42419883608818054,,
,,0.7812818884849548,0.5213829278945923,32,1451,,,,,,,0.7764000296592712,0.5260767340660095
0.8903550505638123,0.41826608777046204,,,32,1451,,,0.8903111219406128,,0.4182989001274109,,,
,,0.8819913864135742,0.4270211160182953,33,1495,,,,,,,0.8831999897956848,0.42608222365379333
0.8922721743583679,0.41667640209198,,,33,1495,,,0.8922666907310486,,0.41668498516082764,,,
,,,,34,1499,,,,0.90234375,,0.40626171231269836,,
,,0.8618143796920776,0.44360247254371643,34,1539,,,,,,,0.8596000075340271,0.44578203558921814
0.8859226703643799,0.42120206356048584,,,34,1539,,,0.8859555721282959,,0.4211820662021637,,,
,,,,35,1549,,,,0.87109375,,0.4414314031600952,,
,,0.8777263760566711,0.4291655123233795,35,1583,,,,,,,0.8791999816894531,0.42788609862327576
0.8892691135406494,0.41915351152420044,,,35,1583,,,0.8892444372177124,,0.4191753566265106,,,
,,,,36,1599,,,,0.88671875,,0.4230669140815735,,
,,0.8233497738838196,0.48302650451660156,36,1627,,,,,,,0.819599986076355,0.48663192987442017
0.886762797832489,0.4199962317943573,,,36,1627,,,0.8867555260658264,,0.4200059175491333,,,
,,,,37,1649,,,,0.90234375,,0.40666770935058594,,
,,0.8990832567214966,0.4085417687892914,37,1671,,,,,,,0.8996000289916992,0.4080822467803955
0.8942201733589172,0.41333848237991333,,,37,1671,,,0.8942221999168396,,0.41333577036857605,,,
,,,,38,1699,,,,0.8984375,,0.4069470167160034,,
,,0.8927375674247742,0.413480669260025,38,1715,,,,,,,0.8920000195503235,0.4142000079154968
0.8971395492553711,0.41152775287628174,,,38,1715,,,0.8971555829048157,,0.41151922941207886,,,
,,,,39,1749,,,,0.921875,,0.3899020552635193,,
,,0.8746013641357422,0.43577879667282104,39,1759,,,,,,,0.8759999871253967,0.4342532157897949
0.8956611752510071,0.4125515818595886,,,39,1759,,,0.8956444263458252,,0.41255617141723633,,,
,,,,40,1799,,,,0.90234375,,0.4066976308822632,,
,,0.8998006582260132,0.4070107936859131,40,1803,,,,,,,0.8996000289916992,0.40720459818840027
0.906580924987793,0.4029802978038788,,,40,1803,,,0.9065777659416199,,0.4029937982559204,,,
,,0.904910683631897,0.4041886329650879,41,1847,,,,,,,0.9052000045776367,0.4041688144207001
0.9023826122283936,0.40646684169769287,,,41,1847,,,0.902400016784668,,0.4064503014087677,,,
,,,,42,1849,,,,0.9140625,,0.39539214968681335,,
,,0.8531249761581421,0.4539608359336853,42,1891,,,,,,,0.8555999994277954,0.4515708386898041
0.9025704860687256,0.4073045551776886,,,42,1891,,,0.9025777578353882,,0.40730148553848267,,,
,,,,43,1899,,,,0.92578125,,0.3909662663936615,,
,,0.8749442100524902,0.4308291971683502,43,1935,,,,,,,0.8727999925613403,0.4328116774559021
0.9048002362251282,0.4051474630832672,,,43,1935,,,0.9047999978065491,,0.40515169501304626,,,
,,,,44,1949,,,,0.89453125,,0.40897130966186523,,
,,0.9000159502029419,0.40575551986694336,44,1979,,,,,,,0.9007999897003174,0.4051075279712677
0.9029101729393005,0.4061632454395294,,,44,1979,,,0.9029333591461182,,0.40614569187164307,,,
,,,,45,1999,,,,0.890625,,0.41357657313346863,,
,,0.8988041877746582,0.4100571274757385,45,2023,,,,,,,0.897599995136261,0.41116541624069214
0.9013686776161194,0.4074106514453888,,,45,2023,,,0.9013333320617676,,0.40744370222091675,,,
,,,,46,2049,,,,0.90625,,0.40197619795799255,,
,,0.8253666758537292,0.480586439371109,46,2067,,,,,,,0.8284000158309937,0.4774225950241089
0.9062668085098267,0.4016004502773285,,,46,2067,,,0.9062222242355347,,0.40164461731910706,,,
,,,,47,2099,,,,0.94140625,,0.37273263931274414,,
,,0.9003666639328003,0.4077388644218445,47,2111,,,,,,,0.8992000222206116,0.4088152348995209
0.9071187376976013,0.4021810293197632,,,47,2111,,,0.9071111083030701,,0.4021965265274048,,,
,,,,48,2149,,,,0.87890625,,0.42460644245147705,,
,,0.8810027837753296,0.4267338812351227,48,2155,,,,,,,0.8827999830245972,0.42524442076683044
0.9089779257774353,0.3997381329536438,,,48,2155,,,0.9089778065681458,,0.3997333347797394,,,
,,,,49,2199,,,,0.9256198406219482,,0.3854408264160156,,
,,0.9046077728271484,0.4026745855808258,49,2199,,,,,,,0.9043999910354614,0.4027341902256012
0.9071341156959534,0.4014814496040344,,,49,2199,,,0.9071111083030701,,0.4015013873577118,,,
,,,,50,2200,0.9113174080848694,0.39776986837387085,,,,,,
