avg_train_acc,avg_train_loss,avg_val_acc,avg_val_loss,epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
,,0.6462850570678711,0.6284226775169373,0,43,,,,,,,0.6460000276565552,0.6288002133369446
0.6195764541625977,0.6479741930961609,,,0,43,,,0.6195555329322815,,0.6480002403259277,,,
,,,,1,49,,,,0.66796875,,0.6120275855064392,,
,,0.6655133962631226,0.6175786256790161,1,87,,,,,,,0.6711999773979187,0.6130908727645874
0.6781892776489258,0.6048879027366638,,,1,87,,,0.6781333088874817,,0.604928731918335,,,
,,,,2,99,,,,0.69921875,,0.5861736536026001,,
,,0.6603555679321289,0.6131954789161682,2,131,,,,,,,0.656000018119812,0.6165434122085571
0.7067773938179016,0.5831548571586609,,,2,131,,,0.7068444490432739,,0.5831069350242615,,,
,,,,3,149,,,,0.75,,0.5399818420410156,,
,,0.7027901411056519,0.5892716646194458,3,175,,,,,,,0.7067999839782715,0.5865951180458069
0.7275346517562866,0.5660781860351562,,,3,175,,,0.7275555729866028,,0.5660659074783325,,,
,,,,4,199,,,,0.734375,,0.562562882900238,,
,,0.6136479377746582,0.66985684633255,4,219,,,,,,,0.6055999994277954,0.6773830056190491
0.7432844042778015,0.5522750020027161,,,4,219,,,0.7432888746261597,,0.552282452583313,,,
,,,,5,249,,,,0.75390625,,0.5238771438598633,,
,,0.7418287992477417,0.5488559007644653,5,263,,,,,,,0.7419999837875366,0.5484601259231567
0.7585748434066772,0.5383079648017883,,,5,263,,,0.7585777640342712,,0.5383076071739197,,,
,,,,6,299,,,,0.79296875,,0.5069082379341125,,
,,0.7414461374282837,0.5519288182258606,6,307,,,,,,,0.7432000041007996,0.5502344965934753
0.7667049765586853,0.5303688049316406,,,6,307,,,0.7666666507720947,,0.5303969383239746,,,
,,,,7,349,,,,0.828125,,0.4835891127586365,,
,,0.7571827173233032,0.538394570350647,7,351,,,,,,,0.7576000094413757,0.5378894209861755
0.779412031173706,0.5204824805259705,,,7,351,,,0.7794666886329651,,0.5204403400421143,,,
,,0.8029575347900391,0.5037500858306885,8,395,,,,,,,0.8008000254631042,0.5058899521827698
0.7990665435791016,0.5038416981697083,,,8,395,,,0.7990221977233887,,0.5038720369338989,,,
,,,,9,399,,,,0.8359375,,0.4833425283432007,,
,,0.6809869408607483,0.6194180250167847,9,439,,,,,,,0.6868000030517578,0.6140794157981873
0.7998296618461609,0.5025557279586792,,,9,439,,,0.799822211265564,,0.5025622248649597,,,
,,,,10,449,,,,0.79296875,,0.5131425261497498,,
,,0.8197624087333679,0.4842971861362457,10,483,,,,,,,0.819599986076355,0.4844048321247101
0.8188436627388,0.486098974943161,,,10,483,,,0.8188444375991821,,0.4861114025115967,,,
,,,,11,499,,,,0.80859375,,0.4950237274169922,,
,,0.7275510430335999,0.5683834552764893,11,527,,,,,,,0.7324000000953674,0.5639445781707764
0.8079869747161865,0.49426329135894775,,,11,527,,,0.8080000281333923,,0.49426066875457764,,,
,,,,12,549,,,,0.8203125,,0.4828360676765442,,
,,0.8182716369628906,0.48062950372695923,12,571,,,,,,,0.8203999996185303,0.4789813458919525
0.8179250359535217,0.48539409041404724,,,12,571,,,0.8179555535316467,,0.48536789417266846,,,
,,,,13,599,,,,0.81640625,,0.48365744948387146,,
,,0.827128529548645,0.4789929986000061,13,615,,,,,,,0.828000009059906,0.47826874256134033
0.8274397253990173,0.4769730269908905,,,13,615,,,0.8274666666984558,,0.47696441411972046,,,
,,,,14,649,,,,0.828125,,0.46420910954475403,,
,,0.7754862904548645,0.5235533714294434,14,659,,,,,,,0.7712000012397766,0.5275245308876038
0.8265350461006165,0.4770429730415344,,,14,659,,,0.8264889121055603,,0.47707149386405945,,,
,,,,15,699,,,,0.80078125,,0.4988678991794586,,
,,0.8164939880371094,0.4861322343349457,15,703,,,,,,,0.8176000118255615,0.48501014709472656
0.8342023491859436,0.4693078100681305,,,15,703,,,0.8342221975326538,,0.46929800510406494,,,
,,0.7138233184814453,0.5867794752120972,16,747,,,,,,,0.7192000150680542,0.5816243290901184
0.8366250395774841,0.4660738706588745,,,16,747,,,0.8366222381591797,,0.46608272194862366,,,
,,,,17,749,,,,0.859375,,0.4434683620929718,,
,,0.8641661405563354,0.44301891326904297,17,791,,,,,,,0.8636000156402588,0.44372987747192383
0.8434726595878601,0.4620242118835449,,,17,791,,,0.8435555696487427,,0.46194887161254883,,,
,,,,18,799,,,,0.86328125,,0.44529658555984497,,
,,0.8603156805038452,0.4458932876586914,18,835,,,,,,,0.8587999939918518,0.4473109841346741
0.8534929156303406,0.4536179304122925,,,18,835,,,0.8535110950469971,,0.4535858631134033,,,
,,,,19,849,,,,0.76953125,,0.5202609300613403,,
,,0.855699896812439,0.4540289044380188,19,879,,,,,,,0.8564000129699707,0.4533029794692993
